country_code,iso_a3,country_name,region,subregion,lon,lat
383,KOS,Kosovo,Europe,Southern Europe,20.9136654490897,42.51392500000006
414,KWT,Kuwait,Asia,Western Asia,47.393072294433196,29.202662258413646
417,KGZ,Kyrgyzstan,Asia,Central Asia,75.19201311218511,41.28910797786304
418,LAO,Laos,Asia,South-Eastern Asia,102.08216893023177,18.175027879300522
428,LVA,Latvia,Europe,Northern Europe,24.504423151312388,56.8950546331989
422,LBN,Lebanon,Asia,Western Asia,35.79466178592026,33.865181281055996
426,LSO,Lesotho,Africa,Southern Africa,28.243577670469747,-29.500576267211812
430,LBR,Liberia,Africa,Western Africa,-9.71018446570726,6.330298671896372
434,LBY,Libya,Africa,Northern Africa,17.258924170759457,26.303265590921555
440,LTU,Lithuania,Europe,Northern Europe,24.127801340727693,55.091237087618765
442,LUX,Luxembourg,Europe,Western Europe,5.96441251117964,49.715854600618115
450,MDG,Madagascar,Africa,Eastern Africa,46.66949122724746,-18.64669097257204
454,MWI,Malawi,Africa,Eastern Africa,33.66837111149775,-13.174647718969421
458,MYS,Malaysia,Asia,South-Eastern Asia,102.07211202137817,3.8329188094189277
466,MLI,Mali,Africa,Western Africa,-0.7009443998886491,17.954795843980627
478,MRT,Mauritania,Africa,Western Africa,-11.492962824158509,21.163411363199195
484,MEX,Mexico,Americas,Central America,-102.25017235234306,23.599373785897797
498,MDA,Moldova,Europe,Eastern Europe,28.649038458877627,47.13761404071195
496,MNG,Mongolia,Asia,Eastern Asia,105.3339760197104,46.84677907977329
499,MNE,Montenegro,Europe,Southern Europe,19.39621631008616,42.75049869108284
504,MAR,Morocco,Africa,Northern Africa,-9.983264573567473,28.490393073026723
508,MOZ,Mozambique,Africa,Eastern Africa,34.69681874810105,-18.319372450435313
104,MMR,Myanmar,Asia,South-Eastern Asia,95.87301200656621,18.99678650560589
516,NAM,Namibia,Africa,Southern Africa,17.146268750805174,-23.254833469335267
524,NPL,Nepal,Asia,Southern Asia,83.44416816400806,28.309835618598875
528,NLD,Netherlands,Europe,Western Europe,5.398113217342898,52.04023468689047
540,NCL,New Caledonia,Oceania,Melanesia,165.6873774454338,-21.41471323007009
554,NZL,New Zealand,Oceania,Australia and New Zealand,176.51659682476674,-38.305310153965785
558,NIC,Nicaragua,Americas,Central America,-85.5743561776437,12.88960114181193
562,NER,Niger,Africa,Western Africa,9.77410100540003,17.39008871100311
566,NGA,Nigeria,Africa,Western Africa,7.831878148303045,8.927685349966659
408,PRK,North Korea,Asia,Eastern Asia,126.80350841012518,40.337641506505065
807,MKD,North Macedonia,Europe,Southern Europe,21.720350512244032,41.68109950813769
578,NOR,Norway,Europe,Northern Europe,22.682486462200686,79.95814301219743
512,OMN,Oman,Asia,Western Asia,56.97737417306399,20.79773600919382
586,PAK,Pakistan,Asia,Southern Asia,70.0926280198014,30.35765635835316
275,PSX,Palestine,Asia,Western Asia,35.30150277949676,32.13028717704515
591,PAN,Panama,Americas,Central America,-81.48307983204492,8.40561127362993
598,PNG,Papua New Guinea,Oceania,Melanesia,144.22611585363256,-6.667835585154329
600,PRY,Paraguay,Americas,South America,-58.63741587062309,-23.11380848561074
604,PER,Peru,Americas,South America,-75.87473849257125,-9.247523085164648
608,PHL,Philippines,Asia,South-Eastern Asia,125.20586583562849,7.6038643457295905
616,POL,Poland,Europe,Eastern Europe,19.076267455907114,51.88441732442235
620,PRT,Portugal,Europe,Southern Europe,-8.367926168946118,39.51081858983509
630,PRI,Puerto Rico,Americas,Caribbean,-66.44495687034964,18.301247565173426
634,QAT,Qatar,Asia,Western Asia,51.179364987393605,25.349047349544065
688,SRB,Republic of Serbia,Europe,Southern Europe,21.01347524303938,44.13669650033062
178,COG,Republic of the Congo,Africa,Middle Africa,15.943964403964879,-0.6482288549870177
642,ROU,Romania,Europe,Eastern Europe,24.2116924300108,46.03602753354609
643,RUS,Russia,Europe,Eastern Europe,88.59732850428603,59.40587000000008
646,RWA,Rwanda,Africa,Eastern Africa,30.030836434099793,-1.9570120174271501
682,SAU,Saudi Arabia,Asia,Western Asia,44.55272448770118,24.26549591724806
686,SEN,Senegal,Africa,Western Africa,-14.729191157319399,14.495174974012365
694,SLE,Sierra Leone,Africa,Western Africa,-11.844424944687134,8.560873114450864
703,SVK,Slovakia,Europe,Eastern Europe,19.630113820701496,48.71193655048388
705,SVN,Slovenia,Europe,Southern Europe,14.732281029695073,46.1274431422704
090,SLB,Solomon Islands,Oceania,Melanesia,160.0935506959795,-9.50523345300422
706,SOM,Somalia,Africa,Eastern Africa,46.794179682516805,5.170365
710,ZAF,South Africa,Africa,Southern Africa,26.147627045756522,-28.408524061803796
410,KOR,South Korea,Asia,Eastern Asia,127.90135660616482,36.20501262058358
728,SDS,South Sudan,Africa,Eastern Africa,28.97007455870824,8.027146002632321
724,ESP,Spain,Europe,Southern Europe,-3.5199679433204363,39.917912604322396
144,LKA,Sri Lanka,Asia,Southern Asia,80.68375212082876,7.861949367703275
729,SDN,Sudan,Africa,Northern Africa,29.61560321102388,15.277565000000067
740,SUR,Suriname,Americas,South America,-56.03158323229576,3.8404506494254704
752,SWE,Sweden,Europe,Northern Europe,14.786243427055595,62.27488129337668
756,CHE,Switzerland,Europe,Western Europe,8.28651553630333,46.80966248227965
760,SYR,Syria,Asia,Western Asia,38.57395271340559,35.027461757948664
158,TWN,Taiwan,Asia,Eastern Asia,120.98884789794322,23.975268154388818
762,TJK,Tajikistan,Asia,Central Asia,71.03984580185244,38.75403015802868
764,THA,Thailand,Asia,South-Eastern Asia,101.66324449034873,13.037021084032567
044,BHS,The Bahamas,Americas,Caribbean,-78.39612525987528,26.685000000000002
768,TGO,Togo,Africa,Western Africa,1.1192623506213286,8.494843553089922
780,TTO,Trinidad and Tobago,Americas,Caribbean,-61.290352348993295,10.562500000000002
788,TUN,Tunisia,Africa,Northern Africa,8.914019710111802,33.94155904798339
792,TUR,Turkey,Asia,Western Asia,35.45493090001703,38.63352071792403
795,TKM,Turkmenistan,Asia,Central Asia,58.672049198743025,39.12133331965124
800,UGA,Uganda,Africa,Eastern Africa,32.54650624332488,1.3803727233898533
804,UKR,Ukraine,Europe,Eastern Europe,30.980774020171626,48.804606078790414
784,ARE,United Arab Emirates,Asia,Western Asia,54.987923662782734,24.28183858896037
826,GBR,United Kingdom,Europe,Northern Europe,-1.753312127795028,54.22468791362445
834,TZA,United Republic of Tanzania,Africa,Eastern Africa,34.14207062768624,-6.207829437269719
840,USA,United States of America,Americas,Northern America,-99.31483211377505,37.23674500000004
858,URY,Uruguay,Americas,South America,-55.818919492674105,-32.38745431898117
860,UZB,Uzbekistan,Asia,Central Asia,63.4428750998178,41.353277187661455
548,VUT,Vanuatu,Oceania,Melanesia,166.89877891083083,-15.163311862857583
862,VEN,Venezuela,Americas,South America,-65.42594002750046,6.481697699403483
704,VNM,Vietnam,Asia,South-Eastern Asia,107.77693425703086,15.994140326394664
732,SAH,Western Sahara,Africa,Northern Africa,-12.572015437039491,24.23056264901875
887,YEM,Yemen,Asia,Western Asia,47.47313794890887,15.815314032448633
894,ZMB,Zambia,Africa,Eastern Africa,25.36972724025386,-13.080002333226854
716,ZWE,Zimbabwe,Africa,Eastern Africa,29.321720518595246,-19.003749281492738
748,SWZ,eSwatini,Africa,Southern Africa,31.360099314089425,-26.56594919200476
